recommender,topK,epochs,lambda_i,lambda_j,MAP
SLIM_BPR_Recommender,278,43,0.0045176031657814435,0.005063008533948504,0.014464642106565
SLIM_BPR_Recommender,360,38,0.009262625496633146,0.009185374061202548,0.014236178504310032
SLIM_BPR_Recommender,400,54,0.0020370154418317887,0.00882249385174298,0.014220383987822
SLIM_BPR_Recommender,237,13,0.0022174241986702837,0.007865125186469783,0.014315560698858221
SLIM_BPR_Recommender,250,20,0.002321174239642116,0.007544508490661768,0.014415549605636084
SLIM_BPR_Recommender,447,32,0.009926740810037523,0.0018503323459535465,0.014086273297233295
SLIM_BPR_Recommender,388,66,0.0019639929885744392,0.007561011992830743,0.01423746546054498
SLIM_BPR_Recommender,234,61,0.0053146766750869715,0.005614794270413074,0.014550832105514194
SLIM_BPR_Recommender,155,21,0.001785643121961666,0.008862561780871898,0.014728252500566396
SLIM_BPR_Recommender,225,43,0.0035894959260675124,0.0048435696424181515,0.014605891029588538
SLIM_BPR_Recommender,117,93,0.006688537165981966,0.001637279141232728,0.015084809262365889
SLIM_BPR_Recommender,116,96,0.007227766910043922,0.0007116019735299619,0.015126620088956447
SLIM_BPR_Recommender,108,93,0.007113678574924858,0.00047872815483545884,0.015104431243152047
SLIM_BPR_Recommender,107,98,0.007671850503135267,0.00027297768983765877,0.015150113508072141
SLIM_BPR_Recommender,167,79,0.00787275079200499,0.0029505144557139063,0.014846798061108607
SLIM_BPR_Recommender,179,81,1.2573672954743244e-05,0.0001144869640339791,0.01482287925285007
SLIM_BPR_Recommender,332,100,0.008388556441287325,0.0023658434477118405,0.014315284517828505
SLIM_BPR_Recommender,495,76,0.006271539667880609,0.0035159156383907614,0.014136419392452408
SLIM_BPR_Recommender,194,88,0.0057313407434101005,0.0007662380510452593,0.014800297391447762
SLIM_BPR_Recommender,102,99,0.007813058556030521,0.0037653107498663617,0.015229503930123081
SLIM_BPR_Recommender,145,85,0.008508470884063892,0.00436823059350128,0.01492395893265691
SLIM_BPR_Recommender,100,99,0.007675568403481615,0.0012354656308082605,0.01521535739851145
SLIM_BPR_Recommender,100,70,0.00783852416757425,0.0014903087409032642,0.015110400926461246
SLIM_BPR_Recommender,143,100,0.009098281032158952,0.003303321859968401,0.014992343102469163
SLIM_BPR_Recommender,211,87,0.0044513802856968165,0.0025876399884387736,0.014749154401395737
SLIM_BPR_Recommender,127,74,0.0058532514934664425,0.005774701970632755,0.015023879888232143
SLIM_BPR_Recommender,183,91,0.00997837688131548,0.0038784824619101464,0.0149066300902714
SLIM_BPR_Recommender,151,100,0.007421747016901035,0.0013672306268187532,0.014942132774180448
SLIM_BPR_Recommender,199,83,0.008694521056720717,0.006472055747522486,0.014718654514367721
SLIM_BPR_Recommender,298,53,0.004521679206594071,0.002176995685866068,0.014463134334098187
SLIM_BPR_Recommender,100,62,0.006553082883327365,0.0011273425021288692,0.015121281362470712
SLIM_BPR_Recommender,132,94,0.007341420139254361,5.727295289013266e-05,0.015078907774513116
SLIM_BPR_Recommender,126,97,0.007856169964583751,0.0008368775817223421,0.015078466677166108
SLIM_BPR_Recommender,272,89,0.00934068573222642,0.0005341726587095718,0.014466583725772178
