recommender,shrink,topk,similarity,feature_weighting,normalization,ICMweight,MAP
ItemKNNCFRecommender,1322.7145762417786,2489,asym,tfidf,bm25,30,0.013549222513211142
ItemKNNCFRecommender,1559.1558535304512,4711,asym,bm25plus,tfidf,76,0.016688225401957496
ItemKNNCFRecommender,1067.1415459466486,1664,jaccard,bm25,tfidf,29,0.016449080834873543
ItemKNNCFRecommender,1940.0277314182463,5709,jaccard,bm25,bm25,54,0.017412588923727684
ItemKNNCFRecommender,705.6939672159806,2768,dice,bm25,bm25plus,6,0.017055319170293928
ItemKNNCFRecommender,1142.8055330072486,2328,asym,bm25,tfidf,42,0.01666770426779372
ItemKNNCFRecommender,1089.7614015303593,1399,jaccard,tfidf,tfidf,48,0.014774664606975851
ItemKNNCFRecommender,1316.1455671866916,3420,asym,bm25plus,bm25plus,96,0.017009726655922066
ItemKNNCFRecommender,877.70227458509,1939,cosine,tfidf,bm25,46,0.010600913782514682
ItemKNNCFRecommender,1548.6051996134136,3798,rp3beta,bm25plus,bm25plus,19,0.006051243237234658
ItemKNNCFRecommender,1898.2068011689228,5528,jaccard,bm25,bm25,69,0.01741089423577175
ItemKNNCFRecommender,1925.4119895123733,5866,jaccard,bm25,bm25,69,0.017410759494450184
ItemKNNCFRecommender,1994.3360649299393,5976,jaccard,bm25,bm25,69,0.01740474208061628
ItemKNNCFRecommender,1742.2967350195613,4952,jaccard,bm25,bm25,86,0.01740188529653914
ItemKNNCFRecommender,1679.4760946463998,5082,cosine,bm25,bm25,60,0.017282122466257877
ItemKNNCFRecommender,1800.9353725959536,4252,rp3beta,bm25,bm25,57,0.006035417080199872
ItemKNNCFRecommender,1456.9726926770957,5311,dice,bm25,bm25,100,0.01740607246215642
ItemKNNCFRecommender,1842.5346760920413,5505,jaccard,bm25,bm25,80,0.017402288178254666
ItemKNNCFRecommender,564.7158010949641,4395,jaccard,tfidf,bm25,59,0.010643664041504566
ItemKNNCFRecommender,1644.5778877836046,3518,jaccard,bm25plus,bm25plus,36,0.017034169124974758
ItemKNNCFRecommender,1998.0386251503737,5545,cosine,bm25,bm25,89,0.017296785985486205
ItemKNNCFRecommender,1889.769496943693,5903,jaccard,bm25,bm25,69,0.01740364745556017
ItemKNNCFRecommender,1915.4096880727384,5700,jaccard,bm25,bm25,68,0.017413152954799758
ItemKNNCFRecommender,1768.6863130300655,4636,jaccard,bm25,bm25,57,0.017405794812460993
ItemKNNCFRecommender,1497.6331725214975,5316,jaccard,bm25,bm25,67,0.017359402158075105
ItemKNNCFRecommender,1872.7370616173807,4099,rp3beta,bm25,bm25,79,0.006030707890348125
ItemKNNCFRecommender,1649.4744744522227,4992,dice,bm25,bm25,63,0.017419616201384346
ItemKNNCFRecommender,1644.3319768860983,4907,dice,bm25plus,tfidf,39,0.01645178899681846
ItemKNNCFRecommender,1443.5707517112883,5661,dice,tfidf,bm25,53,0.012047515612780106
ItemKNNCFRecommender,1373.3680268197152,5127,dice,bm25,bm25plus,28,0.01709502150237423
