recommender,shrink,topk,MAP
ItemKNNCFRecommender,26.407782032019,139,0.016937085243938218
ItemKNNCFRecommender,88.77718818305662,295,0.016884053186548266
ItemKNNCFRecommender,142.1276639353349,321,0.01691719472828546
ItemKNNCFRecommender,141.39262148465176,218,0.016959017316381022
ItemKNNCFRecommender,106.68806685042085,253,0.01693018718895328
ItemKNNCFRecommender,40.75620371658282,329,0.0168777181446742
ItemKNNCFRecommender,154.15204697129334,454,0.01688454326218251
ItemKNNCFRecommender,29.893143159070593,475,0.016829984466309553
ItemKNNCFRecommender,169.07047247038227,371,0.01693793633506019
ItemKNNCFRecommender,173.46527415623862,413,0.016904274430408664
ItemKNNCFRecommender,198.29868589201016,170,0.017015794730350694
ItemKNNCFRecommender,191.77389705364808,167,0.017012115846686653
ItemKNNCFRecommender,198.89393681783775,110,0.0169892540340514
ItemKNNCFRecommender,195.89456803882197,169,0.017011225531274092
ItemKNNCFRecommender,116.8839658264228,195,0.016976003829512292
ItemKNNCFRecommender,69.10945840492388,249,0.016902744465139886
ItemKNNCFRecommender,179.1015360604687,105,0.016953809150923555
ItemKNNCFRecommender,127.31119505565195,165,0.01702208760000587
ItemKNNCFRecommender,65.12849012692082,252,0.016898890918991178
ItemKNNCFRecommender,120.93172496760411,204,0.01697411554287731
ItemKNNCFRecommender,91.18651782219956,143,0.016966211413266027
ItemKNNCFRecommender,157.0929011307413,170,0.017005506767225446
ItemKNNCFRecommender,186.40047767299245,157,0.017035027481174733
ItemKNNCFRecommender,137.0004908193731,134,0.016993078259573944
ItemKNNCFRecommender,181.27144150766497,227,0.0169522722051355
ItemKNNCFRecommender,161.263246597666,286,0.016918526880992216
ItemKNNCFRecommender,126.43089586217711,187,0.016975681961817982
ItemKNNCFRecommender,185.61242156252354,100,0.016960892541358324
ItemKNNCFRecommender,169.11450603209778,148,0.017028337986872772
ItemKNNCFRecommender,154.97145363594157,134,0.0169997744762416
