recommender,alpha,l1_ratio,TopK,MAP
RP3betaRecommender,0.8261022505577772,0.11467638330405094,614,0.00475678843372537
RP3betaRecommender,0.33449082329321983,0.26274475477410275,699,0.004832417134812568
RP3betaRecommender,0.10294701908583521,0.6819412264243,93,0.0033312811137925723
RP3betaRecommender,0.21000723912247743,0.44922816362322415,546,0.004701363193916692
RP3betaRecommender,0.8183252941529655,0.4376856691233455,701,0.004387139777648333
RP3betaRecommender,0.4411659104466046,0.590196940257753,767,0.0036427985052477608
RP3betaRecommender,0.3548551264691717,0.39003371952011934,836,0.004680140632583798
RP3betaRecommender,0.3930266356455435,0.16641989354488523,810,0.0047243623359912576
RP3betaRecommender,0.14301840123807816,0.13854931029921602,359,0.0047649031101417265
RP3betaRecommender,0.8776732792657714,0.42460530010723796,457,0.004681487463997405
RP3betaRecommender,0.5419842149183959,0.13643022571876992,12,0.002715546925130451
RP3betaRecommender,0.23600372605637202,0.669083930816788,587,0.00315894173168803
RP3betaRecommender,0.8570669828547091,0.54595335808729,484,0.004015956101421444
RP3betaRecommender,0.2913183063281111,0.7966967698514339,709,0.001495561742222144
RP3betaRecommender,0.39008041010777195,0.7775340048573178,779,0.001473668136782353
RP3betaRecommender,0.33245399393587594,0.6007322232972381,155,0.004121924106729403
RP3betaRecommender,0.4602261122410648,0.6141393210726177,836,0.0032366050956877004
RP3betaRecommender,0.7819333402867165,0.6858813608983423,189,0.0034045155115488817
RP3betaRecommender,0.4117985180894703,0.7227576520405149,302,0.0029930917362739045
RP3betaRecommender,0.8546719879246689,0.15598911721733355,976,0.004614845650454846
RP3betaRecommender,0.2315172917048141,0.6915648263067251,482,0.003086705539248429
RP3betaRecommender,0.2926890550640523,0.4634000276958651,131,0.004544327942876177
RP3betaRecommender,0.19698828751050934,0.6579558359257365,434,0.003496531573001671
RP3betaRecommender,0.4636822671780255,0.5423083249922555,547,0.004334595479920678
RP3betaRecommender,0.5492024847072008,0.7542094748283862,290,0.0026212065387575915
RP3betaRecommender,0.8040818261084922,0.8864497094077408,266,0.0010054366089727585
RP3betaRecommender,0.32480339418351695,0.10327603662057926,812,0.0046404027824884135
RP3betaRecommender,0.2717272788086784,0.7235275410264091,61,0.0031208949713333813
RP3betaRecommender,0.24518745802544395,0.28452723994580725,792,0.004784586685897721
RP3betaRecommender,0.8152402604144293,0.33228031566571703,665,0.004732667834845588
RP3betaRecommender,0.29294721725636413,0.7135134079312705,373,0.0030065126348164228
RP3betaRecommender,0.548594081535075,0.8993938954295717,548,0.000779282462554635
RP3betaRecommender,0.6081366595195365,0.22277831406317505,315,0.004939221193747636
RP3betaRecommender,0.89783656983883,0.5542188632313207,592,0.0036534937188765684
RP3betaRecommender,0.1480811837008841,0.6156683931572556,148,0.0038678359564291638
RP3betaRecommender,0.5523361506604462,0.5135264951885133,800,0.00413968710734585
RP3betaRecommender,0.3465657819120206,0.4590014045543013,223,0.004643810489520751
RP3betaRecommender,0.8244474063830428,0.16781462793523572,976,0.00461515343778121
RP3betaRecommender,0.7417185117002925,0.4701719894608294,67,0.0045941655800048374
RP3betaRecommender,0.2593772270115074,0.8197799744931052,9,0.0020500287804943104
RP3betaRecommender,0.7380511661009889,0.8665967518881348,313,0.0011283650961292362
RP3betaRecommender,0.7359496523037324,0.8017254536477222,894,0.000699496636812191
RP3betaRecommender,0.12001473155222603,0.7216711153229851,853,0.002050906565556173
RP3betaRecommender,0.267958039613414,0.1401286445424873,540,0.004699126424166267
RP3betaRecommender,0.5538074435761913,0.4709431762410401,39,0.004360649803759084
RP3betaRecommender,0.11899829238081656,0.20912256196958046,554,0.00476149354871306
RP3betaRecommender,0.27612100028228426,0.48338581025884053,630,0.004570159986711669
RP3betaRecommender,0.646205305099105,0.7648007518686981,545,0.001746259325573386
RP3betaRecommender,0.6526084582869427,0.7308719523153443,288,0.002801502309869972
RP3betaRecommender,0.5845774444781091,0.7594363028634534,373,0.0023305544732423
RP3betaRecommender,0.1537567956944546,0.397641165803438,860,0.004619881696456613
RP3betaRecommender,0.15742215233047352,0.119371949549116,585,0.00464985446394438
RP3betaRecommender,0.2779661757163664,0.14133828404404333,596,0.004695239009111378
RP3betaRecommender,0.37756703436937666,0.8184197719857925,49,0.0023176074161109007
RP3betaRecommender,0.6282112819444367,0.2748385264132807,282,0.004983426109036541
RP3betaRecommender,0.47610089045504467,0.31639608377611006,550,0.004901795788081992
RP3betaRecommender,0.22455039002350816,0.7268313569270305,85,0.0030373957724922937
