recommender,alpha,topk,MAP
P3alphaRecommender,0.5088910346261575,814,0.012615225883676534
P3alphaRecommender,0.30078257702257216,681,0.01211710361438261
P3alphaRecommender,0.9910688553858128,629,0.014755455858063427
P3alphaRecommender,0.22781662420782467,935,0.011740350083055464
P3alphaRecommender,0.6705530865121543,822,0.013656781964679288
P3alphaRecommender,0.11116281981967457,183,0.012613477209101021
P3alphaRecommender,0.20756711280031281,947,0.011701647399541217
P3alphaRecommender,0.03931500135623123,361,0.011924138345622488
P3alphaRecommender,0.33252856993881963,774,0.012110232958071345
P3alphaRecommender,0.33865271903041394,488,0.012492745147566668
P3alphaRecommender,0.9621565043293165,552,0.015857460982274005
P3alphaRecommender,0.9839216362572465,582,0.014956627956586435
P3alphaRecommender,0.988022327874982,445,0.014456636360366995
P3alphaRecommender,0.8120178786781845,299,0.015956013557413464
P3alphaRecommender,0.7334006772133784,255,0.015169441021722761
P3alphaRecommender,0.783143785439768,106,0.01627776346550597
P3alphaRecommender,0.7937942518599185,102,0.016343010132557022
P3alphaRecommender,0.6418677362126357,136,0.0150102847562262
P3alphaRecommender,0.5303224689660109,102,0.014786103591499622
P3alphaRecommender,0.8561168568686058,218,0.016589476184317314
