recommenders,alpha,beta,MAP
P3alpha + RP3beta,1.0312352840342365,0.6839952425306843,0.007460373605762926
P3alpha + RP3beta,0.21719506259610966,0.9155564608381452,0.0077537246033966
P3alpha + RP3beta,1.1960701462884573,0.36303765954737055,0.007280774733731593
P3alpha + RP3beta,1.1879663797972453,0.5707049804618183,0.00738985336867931
P3alpha + RP3beta,1.0879518146748033,1.1922710356543746,0.0075816934909957055
P3alpha + RP3beta,1.5591039669751339,0.5381198403447378,0.007312076255454107
P3alpha + RP3beta,0.6701600602030158,1.7300491526437507,0.007721778189288926
P3alpha + RP3beta,1.1310037176810845,1.174655935457999,0.0075692594522432585
P3alpha + RP3beta,0.2433085775879691,0.8999675788231347,0.007738637090945012
P3alpha + RP3beta,1.6603016238813042,0.6857067480456032,0.00735621319230646
