recommender,factors,alpha,regularization,iterations,MAP
ImplicitALSRecommender,514,38,0.0001,45,0.011383371811909482
ImplicitALSRecommender,347,24,0.0001,54,0.011418339899923234
ImplicitALSRecommender,279,45,0.0001,28,0.00942840048373105
ImplicitALSRecommender,338,49,0.0001,70,0.010532575032847047
ImplicitALSRecommender,416,37,0.0001,48,0.0109894223193577
ImplicitALSRecommender,328,30,0.0001,61,0.0111328381789662
ImplicitALSRecommender,383,50,0.0001,98,0.01094473732686835
ImplicitALSRecommender,289,10,0.0001,35,0.012360806089717047
ImplicitALSRecommender,551,20,0.0001,98,0.012128180120931725
ImplicitALSRecommender,509,27,0.0001,20,0.01074650249513324
ImplicitALSRecommender,219,10,0.0001,13,0.011489207495312894
ImplicitALSRecommender,451,12,0.0001,96,0.012475679273164722
ImplicitALSRecommender,420,11,0.0001,75,0.012534603008155107
ImplicitALSRecommender,445,18,0.0001,80,0.012115785939887385
ImplicitALSRecommender,464,15,0.0001,83,0.012263575205470056
ImplicitALSRecommender,477,14,0.0001,84,0.012358486592879912
ImplicitALSRecommender,587,21,0.0001,70,0.012176108266414765
ImplicitALSRecommender,393,14,0.0001,91,0.012196785954549837
ImplicitALSRecommender,424,31,0.0001,70,0.011498973823783351
ImplicitALSRecommender,507,17,0.0001,77,0.012212887075412434
ImplicitALSRecommender,596,10,0.0001,88,0.01262598124487873
ImplicitALSRecommender,598,10,0.0001,90,0.012537189405257993
ImplicitALSRecommender,599,10,0.0001,90,0.012554073845605493
ImplicitALSRecommender,597,22,0.0001,86,0.012162592906717047
ImplicitALSRecommender,555,16,0.0001,90,0.012349563083993785
ImplicitALSRecommender,558,13,0.0001,62,0.012415809158454374
ImplicitALSRecommender,578,26,0.0001,90,0.01202992894665437
ImplicitALSRecommender,531,18,0.0001,99,0.012278002163945945
ImplicitALSRecommender,597,10,0.0001,64,0.01256497681018715
ImplicitALSRecommender,521,35,0.0001,37,0.011082924387372512
