recommender,topK,epochs,lambda_i,lambda_j,MAP
Recommender_Base_Class,540,39,0.0030352658815043496,0.002464167488613025,0.012821999816442496
Recommender_Base_Class,752,61,0.0037994342544230004,0.004862004272238587,0.012802605573516153
Recommender_Base_Class,380,84,0.0059783429720824035,0.003144618836506741,0.013902176071638435
Recommender_Base_Class,630,23,0.009970564415463092,0.003118381170608686,0.01234598834881753
Recommender_Base_Class,488,41,0.009349244456468928,0.0025604562706965494,0.012957914789549642
Recommender_Base_Class,932,51,0.007772976598557826,0.004212456342658674,0.012672725463761171
Recommender_Base_Class,595,28,0.008611353669424705,0.005542466217713604,0.012532596371882492
Recommender_Base_Class,161,36,0.006654926351040391,0.009937426668117222,0.014155623519470808
Recommender_Base_Class,366,14,0.006738100743254193,0.009626743396808581,0.012530781561287412
Recommender_Base_Class,917,66,0.0028534135113435677,0.00967452770042045,0.012735092641383585
Recommender_Base_Class,345,89,0.000540080646590331,0.009598926486497312,0.013852551139088076
Recommender_Base_Class,164,58,0.004502487060303064,0.003875574796652891,0.01449311103832096
Recommender_Base_Class,215,27,0.0009962328804898276,0.0073857160251200845,0.013511178837667032
Recommender_Base_Class,718,91,0.00486593272169047,0.004986116006443642,0.01332415246861748
Recommender_Base_Class,615,83,0.004791519195418136,0.005717230780465775,0.013351440890383
Recommender_Base_Class,309,95,0.0032946027185773237,0.005512640916514057,0.014095734769832748
Recommender_Base_Class,389,88,0.0009980936080794221,0.005859230335690618,0.013692375065867483
Recommender_Base_Class,79,25,0.008592652728002482,0.004143101500477086,0.014812241772726805
Recommender_Base_Class,381,14,0.008971701425560474,0.008067623618151455,0.0123925820037254
Recommender_Base_Class,765,89,0.00733907044993306,0.009415493821512013,0.013274643248786263
Recommender_Base_Class,860,99,0.000620391321162741,0.004931493236788165,0.013127379528224807
Recommender_Base_Class,182,89,0.0038014738796314815,0.008370181436486934,0.014690841328390039
Recommender_Base_Class,806,40,0.001950810197677945,0.002024364421407328,0.012476620096748114
Recommender_Base_Class,940,48,0.0006009701497474257,0.001096911091021423,0.012397448860912529
Recommender_Base_Class,280,11,0.004400925049350178,0.005905453614686753,0.012654813728236597
Recommender_Base_Class,623,94,0.0007892338552689295,0.0004046554148458464,0.013359897808856434
Recommender_Base_Class,377,35,0.004726981795620909,0.006279731743693463,0.012993132994067975
Recommender_Base_Class,544,48,0.008932121207389187,0.003209221690378424,0.012940172172614511
Recommender_Base_Class,646,37,0.0032538996010579913,0.008970637148183951,0.012616630508914881
Recommender_Base_Class,781,20,0.007338761792858606,0.00445337439748192,0.012101078917261646
Recommender_Base_Class,306,90,0.005073641641172633,0.0008296139820482757,0.014123335714839685
Recommender_Base_Class,145,64,0.005763737366655794,0.0010792661602731372,0.014639429277177311
Recommender_Base_Class,247,15,0.00910592376705492,0.0009183734343581066,0.013117360982541796
Recommender_Base_Class,500,49,0.005185083490966875,0.0015337373653185324,0.012990542809354884
Recommender_Base_Class,876,39,0.001274780243078528,0.009486782901138928,0.01233308984212473
Recommender_Base_Class,92,47,0.007822745030957624,0.007064321439973599,0.015059790838875707
Recommender_Base_Class,921,63,0.0007287909592870277,0.001692065766759847,0.01265522020624996
