recommender,alpha,beta,MAP
RP3beta-Slim,0.4165705856141527,0.6849476852489345,0.019697780135547745
RP3beta-Slim,0.45281532002108726,0.12312744524921171,0.019316344530368224
RP3beta-Slim,0.585423429579614,0.6190172875323435,0.019658251879490683
RP3beta-Slim,0.17614801317619133,0.7665659555212834,0.01964693280196439
RP3beta-Slim,0.5918798233438541,0.7870303778975345,0.019677634254445815
RP3beta-Slim,0.32221200512394554,0.6875842237486819,0.01968704258860991
RP3beta-Slim,0.47413694325782385,0.9095498367568928,0.01969648355969478
RP3beta-Slim,0.33630789515249904,0.28355384994417576,0.019614055554764063
RP3beta-Slim,0.38767891307003133,0.7563648583761239,0.019697649587864605
RP3beta-Slim,0.2912693042987816,0.3597674225991774,0.01966544782602473
RP3beta-Slim,0.554420188640204,0.22663192805996113,0.019459945992818733
RP3beta-Slim,0.22366149488862652,0.8971533199954,0.019650241987932287
RP3beta-Slim,0.14443700925589353,0.16393875767524757,0.019669035909315728
RP3beta-Slim,0.9907862378636365,0.9337328508843681,0.01963481362538005
RP3beta-Slim,0.4992989308343754,0.22535119301171513,0.019492555221669646
RP3beta-Slim,0.701526768665296,0.06197517473051661,0.01896189768068162
RP3beta-Slim,0.6681258719797817,0.23143063443269585,0.019382002103004156
RP3beta-Slim,0.0012353674666908399,0.40300347368923695,0.01952072681829145
RP3beta-Slim,0.9342801083316907,0.5896919613182457,0.019575792226636794
RP3beta-Slim,0.24915874519506553,0.9017915479853839,0.01966476838467382
RP3beta-Slim,0.9016285289001567,0.9013723932847799,0.019651832296072317
RP3beta-Slim,0.6663621432806571,0.1071823351401624,0.019149241517960634
RP3beta-Slim,0.3741136823738668,0.4010871223717808,0.01965657849555233
RP3beta-Slim,0.13785339777336914,0.3339455548669725,0.019707868900060245
RP3beta-Slim,0.2587620611028253,0.9635045943282784,0.019660992391838907
RP3beta-Slim,0.5666311225119788,0.3979650565769247,0.019599263117668245
RP3beta-Slim,0.9272370409197284,0.6960175735333374,0.019597237650584468
RP3beta-Slim,0.6516722633351718,0.4919926236201725,0.01959365550127906
RP3beta-Slim,0.3670280520322776,0.0539654988578957,0.01912006707777287
RP3beta-Slim,0.5240625050035834,0.5277546777528633,0.0196518728449739
RP3beta-Slim,0.5355683397342647,0.6178767887833823,0.01966577320623497
RP3beta-Slim,0.6540402159654712,0.31151877756640467,0.01950856610380803
RP3beta-Slim,0.2289171115023071,0.13649501419723908,0.019575423330532193
RP3beta-Slim,0.9180168532373764,0.9157239310330142,0.019652798546727034
RP3beta-Slim,0.6013965908578912,0.23849435188227774,0.019443858957865164
RP3beta-Slim,0.6419451144539021,0.1236133377823102,0.01919638011054585
RP3beta-Slim,0.01796930045566214,0.45279038154202034,0.019541409725089977
RP3beta-Slim,0.6711463631548468,0.7477314744144377,0.01966276962052525
RP3beta-Slim,0.5561886194621781,0.971531654097338,0.01969754079812864
RP3beta-Slim,0.4961910736207995,0.8484610726351547,0.019694834900696394
RP3beta-Slim,0.9163749379174704,0.34991495432634,0.019429763764077037
RP3beta-Slim,0.39251489575137843,0.4209929556998879,0.019656412343955612
RP3beta-Slim,0.5563528027750061,0.7871931369942371,0.019692625480059105
RP3beta-Slim,0.33350709310727056,0.7513383179355866,0.019684414821988024
RP3beta-Slim,0.722552331896637,0.9923334022530518,0.019686999072715497
