recommender,shrink,topk,similarity,feature_weighting,MAP
ItemKNNCFRecommender,92,1299,cosine,TF-IDF,0.016963145400053437
ItemKNNCFRecommender,413,1564,cosine,TF-IDF,0.016951990496128555
ItemKNNCFRecommender,276,1949,cosine,TF-IDF,0.016927718517041588
ItemKNNCFRecommender,898,856,cosine,TF-IDF,0.016981959101388836
ItemKNNCFRecommender,464,1092,cosine,TF-IDF,0.01700396825396819
ItemKNNCFRecommender,435,667,cosine,TF-IDF,0.017098362140855323
ItemKNNCFRecommender,894,765,cosine,TF-IDF,0.01702236558731412
ItemKNNCFRecommender,629,212,cosine,TF-IDF,0.01732579202883744
ItemKNNCFRecommender,11,924,cosine,TF-IDF,0.01699425728653867
ItemKNNCFRecommender,441,1980,cosine,TF-IDF,0.016879770924419946
